Course,Title,Instructor
HUMA 20,Life Skills for Higher Education,Trisha Tran
HUMA 30,Understanding and Managing Stress,Kevin Glapion
HUMA 30,Understanding and Managing Stress,Shireen Woo
HUMA 30,Understanding and Managing Stress,KD Huynh
HUMI 1,Creative Minds,Lori Clinchard
HUMI 1,Creative Minds,Wendy White
HUMI 1,Creative Minds,Gening Jin
HUMI 1,Creative Minds,Alysia Rueda
HUMI 1,Creative Minds,Andrew Wood
HUMI 1,Creative Minds,Apryl Berney
HUMI 1,Creative Minds,Barbara Hoffman
HUMI 1,Creative Minds,Raeann Ramsey
HUMI 1,Creative Minds,Elvin Ramos
HUMI 1,Creative Minds,"ACIDO, JEFFREY"
HUMI 1H,Creative Minds - HONORS,Lori Clinchard
HUMI 1H,Creative Minds - HONORS,Wendy White
HUMI 5,Storytelling in American Culture,Wendy White
HUMI 6,Popular Culture,Javier Galindo
HUMI 6,Popular Culture,Raeann Ramsey
HUMI 6,Popular Culture,Apryl Berney
HUMI 7,The Arts and the Human Spirit,Rashi Jackman
HUMI 9,Introduction to Comparative Religion,Javier Galindo
HUMI 13,Introduction to Korean Popular Culture,Young Jung
HUMI 15,Discussion on the Arts,Barbara Hoffman
HUMI 16,"Arts, Ideas and Values",Barbara Hoffman
HUMI 16,"Arts, Ideas and Values",Leslie Berry
HUMI 20,The Greek Achievement,Gening Jin
HUMI 20,The Greek Achievement,Rashi Jackman
ICS 7,Intercultural Communication,Nick Chivers
ICS 7,Intercultural Communication,Thalia Bobadilla
ICS 25,"Grassroots Democracy: Race, Politics and the American Promise",Laura Chin
ICS 27,Grassroots Democracy: Leadership and Power,Cynthia Kaufman
INTL 8,Sociology of Globalization and Social Change,Kamau Birago
INTL 22,"History of Art: Arts of Africa, Oceania and Native North America",Catie Cadge-Moore
ITAL 1,Elementary Italian (First Quarter),Diana Ferrara
JAPN 1,Elementary Japanese (First Quarter),Min-Jin Kuo
JAPN 1,Elementary Japanese (First Quarter),Yumi Mccormick
JAPN 1,Elementary Japanese (First Quarter),Renshi Xuan
JOUR 2,Media and Its Impact On Society,Newsha Naderzad
JOUR 2,Media and Its Impact On Society,Gail McElroy
KNES 1B,Beginning Swimming,Danielle Altman
KNES 1C,Intermediate Swimming,Danielle Altman
KNES 5AX,Indoor Cycling,Rusty Johnson
KNES 5AX,Indoor Cycling,Rachel Catuiza
KNES 5BX,High Intensity Indoor Cycling,Rusty Johnson
KNES 5BX,High Intensity Indoor Cycling,Rachel Catuiza
KNES 6AX,Aerobic Power Walking,Rachel Catuiza
KNES 6AX,Aerobic Power Walking,Jason Damjanovic
KNES 11AX,Cardio Kick,Rachel Catuiza
KNES 12D,Beginning Karate,Pete Rabbitt
KNES 12E,Intermediate Karate,Pete Rabbitt
KNES 12G,Self-Defense,Pete Rabbitt
KNES 15AX,Cross Training,Rachel Catuiza
KNES 15CX,Total Fitness,Rachel Catuiza
KNES 15CX,Total Fitness,Jason Damjanovic
KNES 15EX,Cardiovascular and Strength Training,Rachel Catuiza
KNES 15EX,Cardiovascular and Strength Training,Jason Damjanovic
KNES 16AX,Fit Camp,Rachel Catuiza
KNES 19EX,Body Sculpting,Rachel Catuiza
KNES 19GX,Core Conditioning,Rachel Catuiza
KNES 19GX,Core Conditioning,Danielle Altman
KNES 22AX,Hatha Yoga,Rusty Johnson
KNES 22AX,Hatha Yoga,Danielle Altman
