CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
24141,ARTS 53,65Z,WL,"""Introduction to Graphic Design: Vector Illustration""",·······,TBA-TBA,Marco Marquez,ONLINE,OL Download Syllabus for ARTS 53 65Z 
26507,ARTS 55A,01Z,WL,"""Graphic Design-Communication I""",·······,TBA-TBA,Marco Marquez,ONLINE,OL Download Syllabus for ARTS 55A 01Z 
27076,ARTS 56,50Z,WL,"""Graphic Design: Page Layout for Digital Publishing""",·······,TBA-TBA,Marco Marquez,ONLINE,OL Download Syllabus for ARTS 56 50Z 
25794,ASAM 1,61Z,Open,"""Asian American Experiences Past to Present""",·······,TBA-TBA,Mae Lee,ONLINE,OL 
27800,ASAM 11,60Z,Open,"""Asian Americans and Racism""",·······,TBA-TBA,Mae Lee,ONLINE,OL 
27626,ASAM 20,60Z,WL,"""Asian Pacific American Literature""",·······,TBA-TBA,Francesca Caparas,ONLINE,OL 
25792,ASAM 40,61Z,Open,"""History of Art: Arts of Asia""",·······,TBA-TBA,So Kam Lee,ONLINE,OL 
25797,ASAM 41,61Z,Open,"""Introduction to Korean Popular Culture""",·······,TBA-TBA,Young Jung,ONLINE,OL 
00207,ASTR 4,01Z,Open,"""Solar System Astronomy""",·T·R···,01:30 PM-02:20 PM,Rachel Mastrapa,ONLINE,OL 
00209,ASTR 4,02Z,Open,"""Solar System Astronomy""",·T·R···,02:30 PM-03:20 PM,Srikar Srinath,ONLINE,OL 
00206,ASTR 4,50Z,Open,"""Solar System Astronomy""",·······,TBA-TBA,Caitlin Marie Kepple,ONLINE,OL 
00208,ASTR 4,61Z,WL,"""Solar System Astronomy""",·······,TBA-TBA,Rachel Mastrapa,ONLINE,OL 
24967,ASTR 4,62Z,Open,"""Solar System Astronomy""",·······,TBA-TBA,Marek Cichanski,ONLINE,OL 
25942,ASTR 4,63Z,Open,"""Solar System Astronomy""",·······,TBA-TBA,Marek Cichanski,ONLINE,OL 
00210,ASTR 4,65Z,WL,"""Solar System Astronomy""",·······,TBA-TBA,Eric Peterson,ONLINE,OL Download Syllabus for ASTR 4 65Z 
25461,ASTR 10,51Z,Open,"""Stellar Astronomy""",·······,TBA-TBA,Eric Peterson,ONLINE,OL Download Syllabus for ASTR 10 51Z 
26472,AUTO 57A,55Z,WL,"""Career Research and Employment in the Automotive Industry""",·······,TBA-TBA,Brett Johnson,ONLINE,OL 
21639,BIOL 45,01Z,Open,"""Introduction to Human Nutrition""",·······,TBA-TBA,Anna Miller,ONLINE,OL Download Syllabus for BIOL 45 01Z 
27302,BIOL 45,02Z,Open,"""Introduction to Human Nutrition""",·······,TBA-TBA,Anna Miller,ONLINE,OL 
27848,BIOL 54I,50Z,Open,"""Applied Human Anatomy and Physiology: Coordination and Transport""",·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,OL 
27849,BIOL 54J,50Z,WL,"""Applied Human Anatomy and Physiology: Absorption, Excretion, and Reproduction""",·······,TBA-TBA,Judy Cuff-Alvarado,ONLINE,$LOLLQ 
00297,BUS 10,62Z,WL,"""Introduction to Business""",·······,TBA-TBA,Byron Lilly,ONLINE,OL Download Syllabus for BUS 10 62Z 
24564,BUS 10,65Z,Open,"""Introduction to Business""",·······,TBA-TBA,Michele Fritz,ONLINE,OL 
00290,BUS 10,66Z,Open,"""Introduction to Business""",·······,TBA-TBA,Byron Lilly,ONLINE,OL Download Syllabus for BUS 10 66Z 
26452,BUS 10,67Z,Open,"""Introduction to Business""",·······,TBA-TBA,Michele Fritz,ONLINE,OL 
26453,BUS 10,68Z,Open,"""Introduction to Business""",·······,TBA-TBA,Wenlei Shan,ONLINE,OL 
27658,BUS 10,69Z,WL,"""Introduction to Business""",·······,TBA-TBA,Guillermo Hernandez,ONLINE,OLLQ 
27990,BUS 18,11Z,Open,"""Business Law I""",M·W····,01:30 PM-02:45 PM,Sandra Spencer,ONLINE,OL 
27991,BUS 18,12Z,Open,"""Business Law I""",M·W····,11:00 AM-12:15 PM,Sandra Spencer,ONLINE,OL 
25984,BUS 18,15Z,Open,"""Business Law I""",·T·R···,01:30 PM-02:45 PM,Joseph Barbeau,ONLINE,OL 
27902,BUS 18,16Z,Open,"""Business Law I""",·T·R···,06:00 PM-07:15 PM,Joseph Barbeau,ONLINE,OL Download Syllabus for BUS 18 16Z 
00307,BUS 18,62Z,WL,"""Business Law I""",·······,TBA-TBA,Dan Salah,ONLINE,OL Download Syllabus for BUS 18 62Z 
00308,BUS 21,62Z,Open,"""Business and Society""",·······,TBA-TBA,Byron Lilly,ONLINE,OL Download Syllabus for BUS 21 62Z 
26506,BUS 50,62Z,Open,"""Nonprofit Corporations""",·······,TBA-TBA,Mary Hiland,ONLINE,OL Download Syllabus for BUS 50 62Z 
27992,BUS 54,11Z,Open,"""Business Mathematics""",M·W····,09:30 AM-10:45 AM,Sandra Spencer,ONLINE,OL 
20974,BUS 55,62Z,Open,"""Introduction to Entrepreneurship""",·······,TBA-TBA,Kimberlee Andrews-Bingham,ONLINE,OL Download Syllabus for BUS 55 62Z 
00311,BUS 56,62Z,Open,"""Human Relations in the Workplace""",·······,TBA-TBA,Lale Yurtseven,ONLINE,OL 
24665,BUS 57,62Z,Open,"""Human Resource Management""",·······,TBA-TBA,Kimberlee Andrews-Bingham,ONLINE,OL Download Syllabus for BUS 57 62Z 
25458,BUS 60,01Z,Open,"""International Business Management""",M·W····,04:30 PM-05:45 PM,Brian Bennett,ONLINE,OL 
27632,BUS 60,01GZ,Full,"""International Business Management""",M·W····,04:30 PM-05:45 PM,Brian Bennett,ONLINE,OL 
27652,BUS 60,62Z,Open,"""International Business Management""",·······,TBA-TBA,Lale Yurtseven,ONLINE,OL 
21638,BUS 65,62Z,Open,"""Leadership""",·······,TBA-TBA,Michele Fritz,ONLINE,OL 
27067,BUS 70,62Z,Open,"""Principles of E-Commerce""",·······,TBA-TBA,Guillermo Hernandez,ONLINE,OL 
27069,BUS 85,62Z,WL,"""Business Communication""",·······,TBA-TBA,Oduro Takyi,ONLINE,OLLQ 
21223,BUS 87,62Z,Open,"""Introduction to Selling""",·······,TBA-TBA,Oduro Takyi,ONLINE,OL 
27831,BUS 89,50Z,Open,"""Advertising""",·······,TBA-TBA,Dionne Morgan,ONLINE,OL 
27641,BUS 90,01Z,Open,"""Principles of Marketing""",·T·R···,02:20 PM-03:50 PM,Gordon Smith,ONLINE,OL 
27651,BUS 90,01GZ,Open,"""Principles of Marketing""",·T·R···,02:20 PM-03:50 PM,Gordon Smith,ONLINE,OL 
00323,BUS 90,62Z,Open,"""Principles of Marketing""",·······,TBA-TBA,Emily Garbe,ONLINE,$LOL 
27653,BUS 90,65Z,Open,"""Principles of Marketing""",·······,TBA-TBA,Dionne Morgan,ONLINE,OL 
21660,BUS 91,62Z,Open,"""Introduction to Personal Finance""",·······,TBA-TBA,Dan Salah,ONLINE,OL Download Syllabus for BUS 91 62Z 
20989,BUS 96,62Z,Open,"""Principles of Management""",·······,TBA-TBA,Michele Fritz,ONLINE,OL 
00329,CD 10G,50Z,Open,"""Child Development (The Early Years)""",·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL 
00331,CD 10G,51Z,WL,"""Child Development (The Early Years)""",·······,TBA-TBA,Cristina Leal,ONLINE,OL 
00333,CD 10H,01Z,WL,"""Child Growth and Development (Middle Childhood and Adolescence)""",··W····,06:30 PM-10:20 PM,Jila Maleksalehi,ONLINE,OL 
00335,CD 10H,02Z,Open,"""Child Growth and Development (Middle Childhood and Adolescence)""",···R···,10:30 AM-12:20 PM,Julie Kennedy,ONLINE,OL 
00337,CD 12,01Z,Open,"""Child, Family and Community Interrelationships""",·T·····,10:30 AM-11:20 AM,Nellie Vargas,ONLINE,OL 
22826,CD 12,02EZ,Open,"""Child, Family and Community Interrelationships""",·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL 
23155,CD 50,52Z,Open,"""Principles and Practices of Teaching Young Children""",·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL 
21537,CD 52,01Z,Open,"""Observation and Assessment of Children""",···R···,06:30 PM-08:20 PM,Zana Wilkie,ONLINE,OL 
21538,CD 54,01Z,Open,"""Curriculum for Early Childhood Programs""",·T·····,01:30 PM-02:20 PM,Nellie Vargas,ONLINE,OL 
27729,CD 54,02Z,Open,"""Curriculum for Early Childhood Programs""",··W····,06:30 PM-09:20 PM,Phyllis De Motta,ONLINE,OL 
23968,CD 55,01Z,Open,"""Literacy Development and Activities for the Young Child""",M······,06:30 PM-08:20 PM,Jayanti Roy,ONLINE,OL 
23190,CD 58,01Z,Open,"""Infant/Toddler Development""",·T·····,11:30 AM-02:20 PM,Fatemeh Zarghami,ONLINE,OL Download Syllabus for CD 58 01Z 
00353,CD 59G,01Z,Open,"""Supervision and Administration of Child Development Programs (Management Systems)""",·T·····,06:30 PM-10:20 PM,Jayanti Roy,ONLINE,OL 
21961,CD 64,50Z,Open,"""Health, Safety, and Nutrition for the Young Child""",·······,TBA-TBA,Richard Zalman,ONLINE,OL 
27158,CD 68,01Z,Open,"""Teaching in a Diverse Society""",··W····,06:30 PM-09:20 PM,Jayanti Roy,ONLINE,OL 
24893,CD 73,01Z,Open,"""Early Childhood Mental Health""",··W····,11:30 AM-01:20 PM,Fatemeh Zarghami,ONLINE,OL Download Syllabus for CD 73 01Z 
26997,CETH 8,61Z,Open,"""Women of Color in the USA""",·······,TBA-TBA,Marc Coronado,ONLINE,OL 
26399,CETH 10,63Z,WL,"""Race, Ethnicity and Inequality""",·······,TBA-TBA,Mae Lee,ONLINE,OL 
26401,CETH 13,61Z,Open,"""History of Art (Multicultural Arts in the United States)""",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL 
26406,CETH 13,62Z,WL,"""History of Art (Multicultural Arts in the United States)""",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL 
26402,CETH 29,65Z,WL,"""Ethnic Studies, Cultural Pluralism, and American Law and Justice""",·······,TBA-TBA,Meghan Kensler,ONLINE,OL 
21601,CHEM 10,22Z,Open,"""Introductory Chemistry""",M·W····,08:30 AM-10:20 AM,"LAK, PARNIAN",ONLINE,OL 
27018,CHLX 10,60Z,WL,"""Introduction to Chicanx and Latinx Studies""",·······,TBA-TBA,Felipe Ponce,ONLINE,OL 
27340,CHLX 10,61Z,Open,"""Introduction to Chicanx and Latinx Studies""",·······,TBA-TBA,Robert Unzueta,ONLINE,OL 
27348,CHLX 10,62Z,Open,"""Introduction to Chicanx and Latinx Studies""",·······,TBA-TBA,Robert Unzueta,ONLINE,OL 
